"특별법범",개발제한구역의지정및관리에관한특별조치법,소계,-,1959,-,1913,1,1482,-,1414,-,967
"특별법범",개인정보보호법,소계,3,1509,3,1760,10,1618,2,2040,4,2596
"특별법범",건강기능식품에관한법률,소계,-,889,-,971,-,881,1,430,-,317
"특별법범",건설기계관리법,소계,1,532,1,574,1,749,-,639,-,543
"특별법범",건설산업기본법,소계,-,1568,-,3350,-,5325,-,3004,-,1629
"특별법범",건축법,소계,1,5779,1,5100,-,5544,-,5146,-,4957
"특별법범",게임산업진흥에관한법률,소계,119,10701,144,11704,92,9680,89,7553,83,7225
"특별법범",결혼중개업의관리에관한법률,소계,-,287,-,134,-,117,-,161,-,123
"특별법범",경범죄처벌법,소계,57,5351,67,7042,67,6522,69,6445,85,7147
"특별법범",고용보험법,소계,-,1358,-,4642,-,4062,-,2961,-,3434
"특별법범",공유수면관리및매립에관한법률,소계,-,195,-,264,-,295,-,283,-,254
"특별법범",공유재산및물품관리법,소계,-,122,-,196,-,184,-,83,-,103
"특별법범",공인중개사법,소계,-,1947,-,1590,-,1533,-,1868,-,1498
"특별법범",공중위생관리법,소계,2,1303,2,1806,7,1694,3,1836,-,2030
"특별법범",공직선거및선거부정방지법,소계,1,321,1,1958,-,-,-,-,-,-
"특별법범",공직선거법,소계,-,-,-,-,10,927,12,3067,-,107
"특별법범",관세법,소계,-,710,-,698,-,836,3,599,-,964
"특별법범",교통사고처리특례법,소계,3219,198594,3256,192030,2988,185762,2577,194209,2270,202548
"특별법범",국가기술자격법,소계,-,214,-,499,-,368,-,151,-,539
"특별법범",국가보안법,소계,1,98,-,40,-,57,-,48,-,57
"특별법범",국민체육진흥법,소계,23,1332,25,1623,6,777,7,369,17,650
"특별법범",국토의계획및이용에관한법률,소계,-,1706,-,1736,-,2088,-,1570,-,2114
"특별법범",근로기준법,소계,-,37247,2,38037,3,39234,1,40162,-,40807
"특별법범",근로자퇴직급여보장법,소계,-,9358,-,9683,1,9502,-,9256,-,8718
"특별법범",낚시관리및육성법,소계,-,131,-,221,-,202,-,224,-,217
"특별법범",노동조합및노동관계조정법,소계,-,713,-,650,-,732,-,1179,-,1011
"특별법범",농수산물유통및가격안정에관한법률,소계,-,121,-,79,-,46,-,43,-,64
"특별법범",농수산물의원산지표시에관한법률,소계,-,3453,-,4235,1,3504,-,2978,-,2945
"특별법범",농지법,소계,-,1335,-,1333,-,1156,-,1219,-,1053
"특별법범",대기환경보전법,소계,-,1935,-,2260,2,2729,-,2561,-,2762
"특별법범",대부업등의등록및금융이용자보호에관한법률,소계,2,1471,1,1519,7,2185,14,2327,23,2374
"특별법범",도로교통법,소계,693,14215,895,15167,769,16485,650,13788,628,14621
"특별법범",도로교통법(무면허운전),소계,3282,40287,3806,64330,4364,44444,3234,22408,3360,21489
"특별법범",도로교통법(사고후미조치),소계,441,52222,435,48028,309,26695,197,11562,174,9521
"특별법범",도로교통법(음주운전),소계,721,211385,710,202808,671,179428,547,141428,499,108303
"특별법범",도로교통법(음주측정거부),소계,5,2557,4,2570,6,2756,6,2906,2,2637
"특별법범",도로법,소계,1,1481,1,2293,4,2437,-,2318,-,2429
