No,자료시점,분류,분류,분류,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
No,자료시점,분류,분류,분류,계,이욕(소계),이욕(소계),이욕(소계),이욕(소계),이욕(소계),이욕(소계),이욕(소계),사행심,보복(소계),보복(소계),보복(소계),보복(소계),보복(소계),가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
No,자료시점,분류,분류,분류,계,이욕(소계),생활비마련,유흥비마련,도박비마련,허영사치심,치부,기타,사행심,보복(소계),신고·고소,수사협조,증언,기타,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
No,자료시점,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
29,2018년,형법범,공무원범죄,공무원범죄의 계[입력치],"8,519",234,19,3,1,0,5,206,12,2,0,0,0,2,1,4,6,59,0,164,696,"7,341"
30,2018년,형법범,공무원범죄,수뢰,"1,289",149,10,3,1,0,4,131,8,0,0,0,0,0,1,2,6,18,0,125,347,633
31,2018년,형법범,공무원범죄,증뢰,466,72,4,0,0,0,1,67,3,0,0,0,0,0,0,1,0,27,0,2,105,256
32,2018년,형법범,공무원범죄,직권남용,"3,998",7,3,0,0,0,0,4,1,2,0,0,0,2,0,1,0,13,0,19,167,"3,788"
33,2018년,형법범,공무원범죄,직무유기,"2,766",6,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,18,77,"2,664"
34,2018년,형법범,풍속범죄,풍속범죄의 계[입력치],"22,560","3,263",338,187,117,15,11,"2,595","7,349",0,0,0,0,0,3,541,261,"2,230",35,440,"5,660","2,778"
35,2018년,형법범,풍속범죄,기타음란행위,"2,067",59,3,0,0,0,1,55,0,0,0,0,0,0,2,114,45,798,16,77,673,283
36,2018년,형법범,풍속범죄,도박과 복표,"19,526","3,188",335,187,117,15,10,"2,524","7,348",0,0,0,0,0,1,427,216,"1,369",10,343,"4,769","1,855"
37,2018년,형법범,풍속범죄,신앙,967,16,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,63,9,20,218,640
38,2018년,형법범,과실범죄,과실범죄의 계[입력치],"10,488",17,2,0,0,0,0,15,1,0,0,0,0,0,21,7,0,559,10,"4,745","1,877","3,251"
39,2018년,형법범,과실범죄,과실치사상,"2,884",0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,294,5,907,414,"1,245"
40,2018년,형법범,과실범죄,실화,"2,016",2,0,0,0,0,0,2,0,0,0,0,0,0,3,7,0,97,5,"1,333",381,188
41,2018년,형법범,과실범죄,업무상과실치사상,"5,588",15,2,0,0,0,0,13,0,0,0,0,0,0,0,0,0,168,0,"2,505","1,082","1,818"
42,2018년,형법범,기타형법범죄,기타형법범죄의 계[입력치],"121,287","2,702",774,24,49,20,28,"1,807",184,70,28,2,9,31,346,245,89,"28,482","1,572","2,811","28,032","56,754"
43,2018년,형법범,기타형법범죄,공무방해,"13,213",182,19,9,3,0,0,151,18,3,0,0,0,3,34,9,10,"6,901",401,213,"3,963","1,479"
44,2018년,형법범,기타형법범죄,공안을해하는죄,339,61,41,0,0,0,0,20,7,0,0,0,0,0,0,0,7,3,0,2,29,230
45,2018년,형법범,기타형법범죄,교통방해,"1,690",49,1,0,0,0,1,47,1,0,0,0,0,0,0,0,0,221,44,196,522,657
46,2018년,형법범,기타형법범죄,권리행사방해,"14,597","1,268",518,3,23,9,5,710,82,0,0,0,0,0,12,4,9,202,14,336,"2,627","10,043"
47,2018년,형법범,기타형법범죄,내란의죄,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
48,2018년,형법범,기타형법범죄,도주와범인은닉,692,12,1,0,0,0,0,11,0,0,0,0,0,0,0,1,4,75,0,67,241,292
49,2018년,형법범,기타형법범죄,명예,"35,311",155,19,1,0,1,7,127,16,12,5,1,0,6,81,58,1,"5,629",361,892,"7,826","20,280"
