No,자료시점,분류,분류,분류,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
No,자료시점,분류,분류,분류,계,소년(소계),소년(소계),소년(소계),소년(소계),소년(소계),소년(소계),소년(소계),성인(소계),성인(소계),성인(소계),성인(소계),성인(소계),성인(소계),성인(소계),성인(소계),성인(소계),성인(소계),성인(소계),성인(소계),성인(소계),성인(소계),성인(소계),성인(소계),성인(소계),미상
No,자료시점,분류,분류,분류,계,소년(소계),14세미만,14세,15세,16세,17세,18세,성인(소계),19세,20세,21세,22세, 23세,24세,25세,26~30세,31~35세,36~40세,41~45세,46~50세,51~55세,56~60세,61~70세,71세이상,미상
No,자료시점,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
27,2014년,형법범,위조범죄,인장,571,7,0,0,1,1,2,3,557,3,1,2,3,3,6,4,43,59,77,92,79,72,47,44,22,7
28,2014년,형법범,위조범죄,통화,345,14,0,2,2,3,5,2,323,2,0,3,7,3,0,1,5,9,7,7,239,8,11,16,5,8
29,2014년,형법범,공무원범죄,공무원범죄의 계[입력치],"4,228",7,0,7,0,0,0,0,"2,866",1,1,0,1,0,4,7,79,232,293,491,531,586,455,156,29,"1,355"
30,2014년,형법범,공무원범죄,수뢰,929,0,0,0,0,0,0,0,868,0,0,0,0,0,0,0,5,29,77,132,163,197,174,76,15,61
31,2014년,형법범,공무원범죄,증뢰,511,0,0,0,0,0,0,0,504,0,0,0,0,0,0,0,4,13,48,82,101,119,85,45,7,7
32,2014년,형법범,공무원범죄,직권남용,"1,224",7,0,7,0,0,0,0,677,0,0,0,1,0,3,3,39,100,74,139,123,103,79,12,1,540
33,2014년,형법범,공무원범죄,직무유기,"1,564",0,0,0,0,0,0,0,817,1,1,0,0,0,1,4,31,90,94,138,144,167,117,23,6,747
34,2014년,형법범,풍속범죄,풍속범죄의 계[입력치],"28,367",74,0,8,9,8,24,25,"28,206",59,64,75,116,154,176,208,"1,520","2,351","2,233","3,319","4,630","5,652","4,230","2,910",509,87
35,2014년,형법범,풍속범죄,기타음란행위,"1,401",43,0,7,9,6,12,9,"1,356",16,14,18,18,17,25,25,142,179,148,200,185,150,104,93,22,2
36,2014년,형법범,풍속범죄,도박과 복표,"26,503",30,0,0,0,2,12,16,"26,405",43,48,53,97,136,148,183,"1,372","2,146","2,068","3,080","4,400","5,429","4,041","2,708",453,68
37,2014년,형법범,풍속범죄,신앙,463,1,0,1,0,0,0,0,445,0,2,4,1,1,3,0,6,26,17,39,45,73,85,109,34,17
38,2014년,형법범,과실범죄,과실범죄의 계[입력치],"8,371",145,1,15,44,21,29,35,"8,102",39,27,37,46,62,61,59,434,630,816,"1,276","1,314","1,394",947,676,284,124
39,2014년,형법범,과실범죄,과실치사상,"1,972",66,0,5,14,12,17,18,"1,874",17,11,16,23,27,19,26,159,138,162,252,276,278,217,150,103,32
40,2014년,형법범,과실범죄,실화,"1,661",70,1,10,30,8,8,13,"1,589",13,10,16,10,14,22,12,82,125,146,192,224,234,188,173,128,2
41,2014년,형법범,과실범죄,업무상과실치사상,"4,738",9,0,0,0,1,4,4,"4,639",9,6,5,13,21,20,21,193,367,508,832,814,882,542,353,53,90
42,2014년,형법범,기타형법범죄,기타형법범죄의 계[입력치],"112,469","2,281",10,250,329,385,567,740,"106,802",889,693,762,909,936,900,903,"5,809","9,479","10,900","15,663","17,080","17,479","11,613","9,397","3,390","3,386"
43,2014년,형법범,기타형법범죄,공무방해,"17,997",329,0,11,28,50,89,151,"17,598",181,134,157,200,211,200,209,"1,366","2,195","2,302","2,873","2,879","2,425","1,290",793,183,70
44,2014년,형법범,기타형법범죄,공안을해하는죄,36,0,0,0,0,0,0,0,33,0,0,0,2,0,0,0,4,5,4,5,5,3,2,2,1,3
45,2014년,형법범,기타형법범죄,교통방해,"2,230",8,0,0,0,2,2,4,"2,164",12,20,22,20,19,13,21,108,129,205,329,283,359,266,253,105,58
46,2014년,형법범,기타형법범죄,권리행사방해,"6,994",47,0,14,10,11,7,5,"6,849",6,10,11,18,15,24,27,385,661,755,"1,070","1,125","1,150",795,610,187,98
47,2014년,형법범,기타형법범죄,내란의죄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2014년,형법범,기타형법범죄,도주와범인은닉,"1,119",25,0,0,1,7,6,11,"1,085",14,12,19,23,23,20,21,145,168,136,146,149,114,53,38,4,9
49,2014년,형법범,기타형법범죄,명예,"32,302","1,352",9,156,211,215,344,417,"28,902",494,345,351,384,372,339,310,"1,613","2,244","2,570","3,658","4,179","4,534","3,299","3,016","1,194","2,048"
