"전과별(1)",전과별(2),2019,2019
"전과별(1)",전과별(2),성인,소년
"전과별(1)",전과별(2),계,계
"전과있음",소계,695998,21457
"전과있음",1범,151044,6681
"전과있음",2범,104976,3360
"전과있음",3범,78114,2517
"전과있음",4범,58702,1597
"전과있음",5범,47336,1228
"전과있음",6범,36425,988
"전과있음",7범,29726,724
"전과있음",8범,23252,604
"전과있음",9범이상,166423,3758
