분류,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,
분류,합계,불취학,초등학교,초등학교,초등학교,중학교,중학교,중학교,고등학교,고등학교,고등학교,전문대학,전문대학,전문대학,대학교,대학교,대학교,대학원,기타,미상,
분류,소계,소계,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,소계,소계,소계,
위증과증거인멸,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,
유기,4,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,
음용수에관한죄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
일수와수리에관한죄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
주거침입,506,0,0,0,0,155,5,13,184,46,27,2,0,0,9,0,0,0,0,65,
기타,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,
특별법범의 계[입력치],11937,2,11,6,20,1069,201,362,5161,1603,1015,133,5,5,410,17,0,0,0,1917,
개발제한구역의지정및관리에관한특별조치법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
개인정보보호법,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
건축법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
게임산업진흥에관한법률,89,0,0,0,0,1,0,3,14,4,28,7,0,0,19,0,0,0,0,13,
경범죄처벌법,69,0,0,0,0,15,0,3,20,14,8,0,0,0,1,0,0,0,0,8,
공유재산및물품관리법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
공인중개사법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
공중위생관리법,3,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,
공직선거법,12,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,3,
교통사고처리특례법,2577,0,3,1,0,124,21,49,911,263,205,16,0,1,80,3,0,0,0,900,
국민체육진흥법,7,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,2,
국토의계획및이용에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
근로기준법,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
근로자퇴직급여보장법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
농수산물의원산지표시에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
