범죄별,범행연령별,항목,단위,2006 년,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년
합계,계,범죄자 연령,명,1932729,1989862,2472897,2519237,1954331,1907641,2117737,2147250,1879548,1948966,2020196,1861796,1749459,1754808
합계,소년,범죄자 연령,명,69211,88104,134992,113022,89776,83068,107490,91633,77594,71035,76000,72759,66142,66247
합계,14세미만,범죄자 연령,명,400,578,3800,1989,445,360,856,471,37,64,84,93,,
합계,14세,범죄자 연령,명,8484,10884,16638,15431,8870,5189,12978,11338,9712,7,7530,7703,8321,9053
합계,15세,범죄자 연령,명,13400,18081,26385,24657,19280,17084,21009,16645,14041,14387,13789,12376,11595,11730
합계,16세,범죄자 연령,명,13367,17306,26932,26153,21611,21815,26080,20463,16940,17624,17589,16391,13306,13548
합계,17세,범죄자 연령,명,11087,14539,21784,23307,19637,19936,24140,21208,17517,18231,17607,17358,15513,14338
합계,18세,범죄자 연령,명,10637,13603,20808,21485,19933,18684,22427,21508,19347,20722,19401,18838,17407,17578
합계,19세,범죄자 연령,명,11836,13113,18645,,,,,,,,,,,
합계,성인,범죄자 연령,명,1585848,1635814,2044942,2093370,1743635,1712041,1849392,1879999,1773556,1817924,1897655,1745478,1637944,1657252
합계,19세,범죄자 연령,명,,,,19429,18570,19373,21074,21317,20742,24079,22963,20882,19414,20511
합계,20세,범죄자 연령,명,10913,10963,14434,15086,12743,15128,17475,17670,15900,19307,20759,19396,18017,18351
합계,21세,범죄자 연령,명,11395,12450,16162,17087,13477,12980,17731,20592,18544,19177,20405,20275,18463,19579
합계,22세,범죄자 연령,명,18299,18788,24879,24257,19134,17292,21673,24278,22915,25344,25995,24202,22938,22538
합계,23세,범죄자 연령,명,25452,26046,31230,31302,23204,20893,23913,26254,23685,28108,30181,27377,25347,25012
합계,24세,범죄자 연령,명,30722,32437,38536,35967,27091,23455,25643,27658,24727,27533,32003,30427,26865,26398
합계,25세,범죄자 연령,명,33926,37325,46327,42684,30986,26855,28392,28650,25415,28261,31053,31726,29421,28007
합계,26~30세,범죄자 연령,명,186011,199680,262154,268988,206886,183240,188489,186246,154669,153167,158537,144360,133269,137049
합계,31~35세,범죄자 연령,명,211144,208023,253501,248681,191501,187322,199346,208157,190948,190059,194990,164623,140005,131076
합계,36~40세,범죄자 연령,명,249499,253576,308854,303651,236069,215212,218066,214636,190494,186159,198261,180967,168897,169713
합계,41~45세,범죄자 연령,명,,,,,,,,,247919,238266,236612,203467,180180,172082
합계,46~50세,범죄자 연령,명,,,,,,,,,253608,257734,262341,237828,220190,216817
합계,41~50세,범죄자 연령,명,513821,524810,640388,636552,538511,521221,547475,540960,,,,,,
합계,51~55세,범죄자 연령,명,,,,,,,,,253651,254352,256499,227841,212241,210138
합계,56~60세,범죄자 연령,명,,,,,,,,,164939,181159,197955,196968,195107,203731
합계,51~60세,범죄자 연령,명,212343,227688,297403,323178,310293,347294,399936,413624,,,,,,
합계,61~70세,범죄자 연령,명,60640,61565,81507,91126,88543,97494,110903,117354,127282,140884,159803,165006,173427,193466
합계,71세이상,범죄자 연령,명,21683,22463,29567,35382,26627,24282,29276,32603,38118,44335,49298,50133,54163,62784
합계,미상,범죄자 연령,명,277670,265944,292963,312845,120920,112532,160855,175618,28398,60007,46541,43559,45373,31309
형법범,계,범죄자 연령,명,855066,833807,1023947,1118253,944853,954629,1104482,1109226,949859,993932,1007048,962775,963276,990685
형법범,소년,범죄자 연령,명,50846,60426,79766,81378,70045,66240,87779,74509,63145,56962,61162,58255,54205,54497
형법범,14세미만,범죄자 연령,명,190,195,346,244,147,98,582,241,27,45,65,38,,
형법범,14세,범죄자 연령,명,7723,9502,11959,12602,7833,4653,11663,10332,8888,7,6952,7053,7713,8322
형법범,15세,범죄자 연령,명,11218,14388,18072,19182,16377,14764,18037,14403,12268,12625,12003,10642,10233,10399
형법범,16세,범죄자 연령,명,9866,12030,16483,18833,16833,17621,21162,16341,13552,14402,13962,12842,10790,11105
형법범,17세,범죄자 연령,명,7746,9203,12413,16180,14375,15006,19007,16673,13621,14258,13581,13270,12070,11090
형법범,18세,범죄자 연령,명,6972,7923,11120,14337,14480,14098,17328,16519,14789,15625,14599,14410,13399,13581
형법범,19세,범죄자 연령,명,7131,7185,9373,,,,,,,,,,,
형법범,성인,범죄자 연령,명,736149,719194,876977,963064,833966,834787,941227,945178,870746,904872,920760,878991,878917,914549
형법범,19세,범죄자 연령,명,,,,11103,12448,14008,15474,15529,15201,17296,16435,15271,14557,15228
형법범,20세,범죄자 연령,명,6539,5990,7079,7971,7845,10153,12124,12571,10972,13505,14272,13575,13222,13523
형법범,21세,범죄자 연령,명,6577,6814,7788,8854,7853,8268,11416,13412,11959,12480,13329,13710,12948,13923
형법범,22세,범죄자 연령,명,9669,9296,11414,11816,10138,10042,12862,14665,13789,15598,15640,15283,15047,14995
형법범,23세,범죄자 연령,명,12371,11748,13144,14301,11689,11192,13280,14325,13315,16075,17244,15930,15544,15538
형법범,24세,범죄자 연령,명,13814,13683,15377,15672,12661,11743,13172,14116,12674,14727,16763,16578,15488,15568
형법범,25세,범죄자 연령,명,14150,14963,17619,17624,13675,12960,13698,13416,12079,13972,14966,16314,16019,15824
형법범,26~30세,범죄자 연령,명,71195,72255,91195,102850,84644,79232,84756,83241,67037,68748,69480,67185,66270,70761
형법범,31~35세,범죄자 연령,명,91575,82577,95001,103201,83494,84605,95701,99401,87490,88629,88266,77808,71045,68368
형법범,36~40세,범죄자 연령,명,115811,110042,128559,137265,109160,100227,107753,104645,89984,89506,92427,87901,87955,91713
형법범,41~45세,범죄자 연령,명,,,,,,,,,120142,116645,111330,99388,94941,93812
형법범,46~50세,범죄자 연령,명,,,,,,,,,124880,127774,125572,118320,116801,118839
형법범,41~50세,범죄자 연령,명,250566,243279,294146,309514,265154,254377,279121,271804,,,,,,
형법범,51~55세,범죄자 연령,명,,,,,,,,,126790,128142,125157,114013,113489,115104
형법범,56~60세,범죄자 연령,명,,,,,,,,,82569,90233,96997,98806,104058,111221
형법범,51~60세,범죄자 연령,명,106000,110803,145503,165041,158851,176366,209095,211948,,,,,,
형법범,61~70세,범죄자 연령,명,31843,31360,41293,47154,45425,48951,56933,58752,61977,68604,76949,81593,90717,103992
형법범,71세이상,범죄자 연령,명,6039,6384,8859,10698,10929,12663,15842,17353,19888,22938,25933,27316,30816,36140
형법범,미상,범죄자 연령,명,68071,54187,67204,73811,40842,53602,75476,89539,15968,32098,25126,25529,30154,21639
재산범죄,계,범죄자 연령,명,399280,367758,419242,480845,415258,427199,521037,556966,411083,431741,429896,414778,427056,452175
재산범죄,소년,범죄자 연령,명,29506,33659,39688,45774,40478,37978,47605,45735,36271,32068,33088,29056,26497,27809
재산범죄,14세미만,범죄자 연령,명,115,116,144,114,75,42,324,98,6,21,21,17,,
재산범죄,14세,범죄자 연령,명,5024,5894,6607,7553,4942,2888,7057,7080,5848,1,4351,4359,4485,5077
재산범죄,15세,범죄자 연령,명,7170,8532,9702,11157,10205,9022,10477,9834,7795,8363,7428,6199,5628,5802
재산범죄,16세,범죄자 연령,명,6248,7212,8868,11003,10293,10759,12225,10865,8559,9143,8343,7081,5780,6202
재산범죄,17세,범죄자 연령,명,4407,5053,6086,9047,7965,8331,9659,9561,7407,7435,6824,6120,5490,5274
재산범죄,18세,범죄자 연령,명,3346,3706,4630,6900,6998,6936,7863,8297,6656,7105,6121,5280,5114,5454
재산범죄,19세,범죄자 연령,명,3196,3146,3651,,,,,,,,,,,
재산범죄,성인,범죄자 연령,명,333604,305611,341229,390778,346665,350870,417078,440071,367782,384547,387486,375712,390397,416686
재산범죄,19세,범죄자 연령,명,,,,4971,5727,6219,6794,7746,6649,7728,6881,6190,5898,6668
재산범죄,20세,범죄자 연령,명,3378,2909,2838,3596,3641,4494,5422,6749,4985,6475,6461,6037,6241,6403
재산범죄,21세,범죄자 연령,명,3231,3303,3183,3850,3430,3698,4808,6524,5077,5705,5831,5941,6104,6632
재산범죄,22세,범죄자 연령,명,4102,3783,4321,4528,3959,4144,5271,6896,5564,6715,6576,6262,6608,6859
재산범죄,23세,범죄자 연령,명,4932,4731,4520,5373,4684,4315,5360,6653,5223,6774,7113,6504,6999,6991
재산범죄,24세,범죄자 연령,명,5832,5339,5308,5850,4881,4688,5349,6558,5094,6091,6925,6784,6699,6870
재산범죄,25세,범죄자 연령,명,5846,6208,6196,6452,5244,5235,5747,6176,4857,5838,6064,6778,7105,7076
재산범죄,26~30세,범죄자 연령,명,31728,30877,34509,38945,33082,32158,36641,39189,27433,29211,28139,27746,28641,31372
재산범죄,31~35세,범죄자 연령,명,42825,36574,38177,40974,34718,36635,43419,47141,36121,36710,35388,31719,30404,29893
재산범죄,36~40세,범죄자 연령,명,53859,48551,51849,56380,45884,43478,49558,49813,38351,38415,38212,36828,37843,40300
재산범죄,41~45세,범죄자 연령,명,,,,,,,,,51521,49534,46756,42324,42253,42279
재산범죄,46~50세,범죄자 연령,명,,,,,,,,,53075,53729,52856,51008,52261,54552
재산범죄,41~50세,범죄자 연령,명,113542,101810,114429,127295,110561,107499,124992,126074,,,,,,
재산범죄,51~55세,범죄자 연령,명,,,,,,,,,53709,54040,53169,49186,50243,52922
재산범죄,56~60세,범죄자 연령,명,,,,,,,,,34912,38414,41440,42903,46629,51485
재산범죄,51~60세,범죄자 연령,명,47953,46187,56562,68267,67123,73186,92901,96705,,,,,,
재산범죄,61~70세,범죄자 연령,명,13847,12778,15932,19778,19107,19929,24303,26300,26584,29289,33812,36214,41536,48383
재산범죄,71세이상,범죄자 연령,명,2529,2561,3405,4519,4624,5192,6513,7547,8627,9879,11863,13288,14933,18001
재산범죄,미상,범죄자 연령,명,36170,28488,38325,44293,28115,38351,56354,71160,7030,15126,9322,10010,10162,7680
절도,계,범죄자 연령,명,64812,71575,85754,112531,106000,108594,111095,109219,96901,104246,107308,106656,98305,102464
절도,소년,범죄자 연령,명,24842,28839,33073,38494,33534,31380,37256,33092,26047,21170,22534,20008,16904,17141
절도,14세미만,범죄자 연령,명,87,102,106,92,50,23,278,70,1,10,5,8,,
절도,14세,범죄자 연령,명,4864,5709,6267,7188,4630,2702,6483,6488,5253,-,3743,3785,3839,4175
절도,15세,범죄자 연령,명,6825,8128,8974,10252,9339,8366,9261,8347,6567,6781,6027,5081,4310,4390
절도,16세,범죄자 연령,명,5683,6591,7773,9359,8750,9273,9763,8095,6226,6384,5807,5138,3864,3885
절도,17세,범죄자 연령,명,3564,4139,4830,6872,6105,6370,6806,5878,4516,4425,3983,3486,2859,2631
절도,18세,범죄자 연령,명,2310,2569,3188,4731,4660,4646,4665,4214,3484,3570,2969,2510,2032,2060
절도,19세,범죄자 연령,명,1509,1601,1935,,,,,,,,,,,
절도,성인,범죄자 연령,명,36711,39954,49346,69163,69645,74249,70818,73304,70000,77548,84150,86038,80743,84567
절도,19세,범죄자 연령,명,,,,2928,3504,3859,3360,3268,2783,3030,2601,2193,1748,1801
절도,20세,범죄자 연령,명,1025,968,1079,1535,1726,2382,2205,2074,1846,2145,2180,1961,1614,1442
절도,21세,범죄자 연령,명,810,853,953,1476,1436,1573,2042,2018,1888,1807,1998,1921,1540,1481
절도,22세,범죄자 연령,명,967,1030,1287,1745,1677,1697,1963,2176,2020,2222,2192,2103,1700,1614
절도,23세,범죄자 연령,명,1156,1207,1308,1862,1712,1748,1900,1987,1755,2073,2209,2049,1859,1560
절도,24세,범죄자 연령,명,1203,1179,1298,1810,1615,1668,1812,1789,1722,1823,2129,1961,1683,1593
절도,25세,범죄자 연령,명,1176,1329,1395,1771,1653,1663,1563,1656,1528,1725,1795,1906,1795,1652
절도,26~30세,범죄자 연령,명,4792,5342,6548,9147,8662,8463,8208,8134,6976,7516,7753,7572,6912,6665
절도,31~35세,범죄자 연령,명,4839,4845,5725,7307,6987,7636,7266,7801,7041,7611,7717,7077,6224,5822
절도,36~40세,범죄자 연령,명,5095,5418,6356,8371,7666,7608,6652,6831,6144,6385,6993,7160,6579,7027
절도,41~45세,범죄자 연령,명,,,,,,,,,7242,7499,7378,7229,6573,6550
절도,46~50세,범죄자 연령,명,,,,,,,,,7238,7827,8242,8574,7889,8037
절도,41~50세,범죄자 연령,명,9509,10179,13031,16796,16810,17024,15186,15612,,,,,,
절도,51~55세,범죄자 연령,명,,,,,,,,,7829,8527,8952,8866,8385,8250
절도,56~60세,범죄자 연령,명,,,,,,,,,5631,6717,7987,8934,8748,9604
절도,51~60세,범죄자 연령,명,4210,5151,6850,9558,10657,12442,12358,12966,,,,,,
절도,61~70세,범죄자 연령,명,1589,1985,2779,3718,4192,4812,4521,4854,5622,6902,8819,10152,10733,12691
절도,71세이상,범죄자 연령,명,340,468,737,1139,1348,1674,1782,2138,2735,3739,5205,6380,6761,8778
절도,미상,범죄자 연령,명,3259,2782,3335,4874,2821,2965,3021,2823,854,5528,624,610,658,756
장물,계,범죄자 연령,명,2186,2644,3948,6392,6461,4483,5630,7612,5071,4730,3815,3131,1811,1469
장물,소년,범죄자 연령,명,222,271,571,820,722,454,1200,1498,830,801,591,443,290,175
장물,14세미만,범죄자 연령,명,3,-,1,1,-,-,-,1,-,-,-,,,
장물,14세,범죄자 연령,명,22,28,65,57,54,18,105,86,62,-,44,31,17,29
장물,15세,범죄자 연령,명,32,44,96,147,150,76,185,203,112,104,82,52,38,28
장물,16세,범죄자 연령,명,48,63,143,225,204,135,361,417,243,263,162,130,64,48
장물,17세,범죄자 연령,명,45,52,129,223,139,105,327,429,235,242,153,139,95,36
장물,18세,범죄자 연령,명,35,45,88,167,175,120,222,362,178,192,150,91,76,34
장물,19세,범죄자 연령,명,37,39,49,,,,,,,,,,,
장물,성인,범죄자 연령,명,1794,2217,3190,5389,5710,3967,4300,5930,4218,3842,3197,2660,1494,1277
장물,19세,범죄자 연령,명,,,,115,161,85,165,285,160,190,114,82,48,37
장물,20세,범죄자 연령,명,22,24,23,58,66,58,116,221,97,110,86,73,30,25
장물,21세,범죄자 연령,명,19,25,21,40,43,31,99,207,122,91,73,73,33,27
장물,22세,범죄자 연령,명,25,26,31,57,51,30,85,222,114,85,79,45,33,45
장물,23세,범죄자 연령,명,27,35,39,60,56,42,91,192,85,92,93,54,34,21
장물,24세,범죄자 연령,명,40,65,48,67,53,41,63,175,99,62,60,52,32,23
장물,25세,범죄자 연령,명,39,44,40,70,70,39,67,150,84,85,38,56,22,15
장물,26~30세,범죄자 연령,명,210,200,269,445,422,275,520,850,465,412,289,238,125,108
장물,31~35세,범죄자 연령,명,249,250,308,529,486,358,584,849,567,472,384,364,162,121
장물,36~40세,범죄자 연령,명,252,321,457,697,750,481,486,588,456,397,367,363,171,153
장물,41~45세,범죄자 연령,명,,,,,,,,,470,455,373,291,159,130
장물,46~50세,범죄자 연령,명,,,,,,,,,449,384,341,276,149,135
장물,41~50세,범죄자 연령,명,550,694,1102,1768,1790,1220,963,1152,,,,,,
장물,51~55세,범죄자 연령,명,,,,,,,,,450,390,331,237,159,152
장물,56~60세,범죄자 연령,명,,,,,,,,,309,339,271,234,146,114
장물,51~60세,범죄자 연령,명,275,388,661,1071,1302,984,801,750,,,,,,
장물,61~70세,범죄자 연령,명,79,131,163,363,404,270,223,252,250,229,241,190,148,142
장물,71세이상,범죄자 연령,명,7,14,28,49,56,53,37,37,41,49,57,32,43,29
장물,미상,범죄자 연령,명,170,156,187,183,29,62,130,184,23,87,27,28,27,17
사기,계,범죄자 연령,명,276344,236575,258276,286453,238871,251182,325786,357611,232827,241830,236001,223122,242658,260828
사기,소년,범죄자 연령,명,3445,3382,4189,4796,4739,4616,6701,8600,7251,7844,7482,6225,6968,8088
사기,14세미만,범죄자 연령,명,17,9,26,15,14,2,14,19,3,2,8,7,,
사기,14세,범죄자 연령,명,64,61,136,200,175,94,272,315,384,-,398,353,424,609
사기,15세,범죄자 연령,명,178,194,372,485,525,380,658,888,835,1108,953,770,983,1023
사기,16세,범죄자 연령,명,343,401,591,992,1005,1018,1530,1770,1586,1989,1817,1267,1374,1762
사기,17세,범죄자 연령,명,629,640,791,1510,1341,1424,1896,2559,2077,2149,2044,1845,1891,2044
사기,18세,범죄자 연령,명,806,855,989,1594,1679,1698,2331,3049,2366,2596,2262,1983,2296,2650
사기,19세,범죄자 연령,명,1408,1222,1284,,,,,,,,,,,
사기,성인,범죄자 연령,명,245265,211137,223382,246975,210951,214152,270885,286693,221150,227238,222304,210386,229056,247739
사기,19세,범죄자 연령,명,,,,1503,1587,1757,2690,3559,3064,3760,3344,3120,3393,4082
사기,20세,범죄자 연령,명,2112,1710,1467,1712,1563,1689,2683,3983,2550,3597,3516,3374,3943,4241
사기,21세,범죄자 연령,명,2164,2159,1902,1989,1699,1752,2242,3707,2507,3215,3122,3204,3823,4399
사기,22세,범죄자 연령,명,2725,2332,2465,2259,1813,2001,2707,3878,2764,3651,3502,3333,4070,4362
사기,23세,범죄자 연령,명,3211,2918,2548,2843,2415,2017,2755,3813,2741,3798,3901,3503,4208,4551
사기,24세,범죄자 연령,명,3990,3365,3180,3232,2642,2468,2862,3918,2635,3416,3747,3776,4042,4323
사기,25세,범죄자 연령,명,3940,4005,3804,3751,2856,2964,3404,3680,2593,3255,3358,3802,4354,4440
사기,26~30세,범죄자 연령,명,22535,20600,21798,23472,19232,19157,23148,25263,15760,16949,15554,15406,17063,19790
사기,31~35세,범죄자 연령,명,31326,25107,24915,25888,21530,23119,28783,31262,21928,22002,20661,18257,18189,18454
사기,36~40세,범죄자 연령,명,39955,33985,34340,36574,28890,27971,33929,33932,23943,23746,23075,21740,23299,24972
사기,41~45세,범죄자 연령,명,,,,,,,,,32785,31031,28914,25680,26746,26813
사기,46~50세,범죄자 연령,명,,,,,,,,,34092,33822,32787,30927,32884,34739
사기,41~50세,범죄자 연령,명,86034,72569,77500,84734,71202,69664,85987,86036,,,,,,
사기,51~55세,범죄자 연령,명,,,,,,,,,34405,33488,32544,29246,30646,33190
사기,56~60세,범죄자 연령,명,,,,,,,,,21602,22971,24156,24299,27533,30608
사기,51~60세,범죄자 연령,명,36183,32805,38389,45093,42840,46685,62821,64988,,,,,,
사기,61~70세,범죄자 연령,명,9582,8177,9411,11725,10670,10799,14127,15446,14502,15228,16747,17354,20814,24293
사기,71세이상,범죄자 연령,명,1508,1405,1663,2200,2012,2109,2747,3228,3279,3309,3376,3365,4049,4482
사기,미상,범죄자 연령,명,27634,22056,30705,34682,23181,32414,48200,62318,4426,6748,6215,6511,6634,5001
횡령,계,범죄자 연령,명,27691,23716,30216,32695,28976,28163,37782,41433,34337,38393,37984,36315,37797,38055
횡령,소년,범죄자 연령,명,700,721,1128,1190,1084,1094,1632,1755,1436,1456,1494,1424,1393,1280
횡령,14세미만,범죄자 연령,명,6,2,7,3,2,3,8,4,2,1,1,1,,
횡령,14세,범죄자 연령,명,60,73,91,77,53,46,123,128,103,1,84,113,114,126
횡령,15세,범죄자 연령,명,116,127,189,215,135,149,282,273,190,248,212,176,166,192
횡령,16세,범죄자 연령,명,147,113,280,347,262,257,432,443,367,359,388,371,313,288
횡령,17세,범죄자 연령,명,129,147,236,317,293,323,421,509,434,434,436,415,416,345
횡령,18세,범죄자 연령,명,108,133,177,231,339,316,366,398,340,413,373,348,384,329
횡령,19세,범죄자 연령,명,134,126,148,,,,,,,,,,,
횡령,성인,범죄자 연령,명,24012,21027,26821,29165,26621,25214,32925,35581,32139,35675,35260,33568,35094,35956
횡령,19세,범죄자 연령,명,,,,174,219,267,297,285,253,339,332,322,265,278
횡령,20세,범죄자 연령,명,116,84,115,126,149,185,211,216,210,267,296,275,261,274
횡령,21세,범죄자 연령,명,116,114,104,134,109,158,186,269,203,262,294,291,294,276
횡령,22세,범죄자 연령,명,156,129,172,188,163,189,197,280,249,323,362,307,304,329
횡령,23세,범죄자 연령,명,198,151,173,196,167,199,254,295,253,309,338,332,344,299
횡령,24세,범죄자 연령,명,223,213,220,244,197,193,246,315,255,299,400,401,314,343
횡령,25세,범죄자 연령,명,296,270,277,303,230,218,287,308,258,333,379,357,341,367
횡령,26~30세,범죄자 연령,명,2004,1769,2149,2182,1761,1643,1925,2297,1709,1821,1908,1873,1778,1810
횡령,31~35세,범죄자 연령,명,3361,2664,3040,3153,2491,2338,3172,3475,2951,3141,2942,2539,2462,2290
횡령,36~40세,범죄자 연령,명,4260,3611,4562,4778,3881,3302,4118,4300,3559,3790,3463,3230,3340,3550
횡령,41~45세,범죄자 연령,명,,,,,,,,,4941,5058,4615,4037,3967,3788
횡령,46~50세,범죄자 연령,명,,,,,,,,,5032,5454,5040,4889,4965,4915
횡령,41~50세,범죄자 연령,명,8295,7379,9353,9996,9247,8460,10780,11152,,,,,,
횡령,51~55세,범죄자 연령,명,,,,,,,,,4899,5585,5142,4741,4797,4780
횡령,56~60세,범죄자 연령,명,,,,,,,,,3354,4022,4270,4174,4796,4995
횡령,51~60세,범죄자 연령,명,3463,3307,4636,5479,5749,5748,7841,8639,,,,,,
횡령,61~70세,범죄자 연령,명,1186,1033,1575,1708,1722,1737,2536,2754,2869,3397,3883,4068,4860,5410
횡령,71세이상,범죄자 연령,명,338,303,445,504,536,577,875,996,1144,1275,1596,1732,2006,2252
횡령,미상,범죄자 연령,명,2979,1968,2267,2340,1271,1855,3225,4097,762,1262,1230,1323,1310,819
배임,계,범죄자 연령,명,7060,5974,7821,9474,7595,6549,9652,10328,11740,10445,9391,10069,10158,10274
배임,소년,범죄자 연령,명,2,3,6,2,7,1,9,1,3,4,7,1,2,1
배임,14세미만,범죄자 연령,명,-,-,-,-,-,1,1,-,-,-,-,,,
배임,14세,범죄자 연령,명,-,-,-,1,-,-,-,-,2,-,-,,-,-
배임,15세,범죄자 연령,명,1,-,1,-,-,-,-,-,-,1,-,,-,-
배임,16세,범죄자 연령,명,-,-,2,-,3,-,1,-,-,1,3,1,-,-
배임,17세,범죄자 연령,명,1,-,1,-,2,-,4,1,1,-,2,,-,-
배임,18세,범죄자 연령,명,-,-,1,1,2,-,3,-,-,2,2,,2,1
배임,19세,범죄자 연령,명,-,3,1,,,,,,,,,,,
배임,성인,범죄자 연령,명,5491,4943,6653,7890,7048,5929,8538,9306,10980,9341,8499,8974,9080,9567
배임,19세,범죄자 연령,명,,,,4,3,1,1,2,1,5,13,1,3,4
배임,20세,범죄자 연령,명,1,3,-,1,2,3,1,4,4,7,6,9,5,9
배임,21세,범죄자 연령,명,2,4,4,5,2,7,1,5,5,6,5,5,10,7
배임,22세,범죄자 연령,명,3,1,4,2,1,4,1,6,8,9,10,3,4,13
배임,23세,범죄자 연령,명,8,6,7,4,6,6,7,4,12,12,11,11,8,7
배임,24세,범죄자 연령,명,8,8,9,7,8,8,7,12,10,15,24,14,14,15
배임,25세,범죄자 연령,명,16,8,13,14,8,9,13,17,13,10,8,26,26,18
배임,26~30세,범죄자 연령,명,150,92,166,169,163,112,172,209,246,198,166,145,164,207
배임,31~35세,범죄자 연령,명,395,334,393,483,356,254,432,538,597,470,415,377,409,330
배임,36~40세,범죄자 연령,명,703,647,830,922,760,537,781,845,1120,754,702,788,769,664
배임,41~45세,범죄자 연령,명,,,,,,,,,1739,1309,1096,1089,1107,997
배임,46~50세,범죄자 연령,명,,,,,,,,,1826,1542,1326,1464,1412,1628
배임,41~50세,범죄자 연령,명,2080,1884,2430,2848,2398,1944,2663,2943,,,,,,
배임,51~55세,범죄자 연령,명,,,,,,,,,1954,1784,1543,1557,1597,1596
배임,56~60세,범죄자 연령,명,,,,,,,,,1525,1397,1322,1614,1428,1689
배임,51~60세,범죄자 연령,명,1361,1229,1750,2206,2072,1970,2857,3010,,,,,,
배임,61~70세,범죄자 연령,명,611,559,814,975,973,815,1152,1251,1398,1344,1385,1372,1496,1794
배임,71세이상,범죄자 연령,명,153,168,233,250,296,259,450,460,522,479,467,499,628,589
배임,미상,범죄자 연령,명,1567,1028,1162,1582,540,619,1105,1021,757,1100,885,1094,1076,706
손괴,계,범죄자 연령,명,21187,27274,33227,33300,27355,28228,31092,30763,30207,32097,35397,35485,36327,39085
손괴,소년,범죄자 연령,명,295,443,721,472,392,433,807,789,704,793,980,955,940,1124
손괴,14세미만,범죄자 연령,명,2,3,4,3,9,13,23,4,-,8,7,1,,
손괴,14세,범죄자 연령,명,14,23,48,30,30,28,74,63,44,-,82,77,91,138
손괴,15세,범죄자 연령,명,18,39,70,58,56,51,91,123,91,121,154,120,131,169
손괴,16세,범죄자 연령,명,27,44,79,80,69,76,138,140,137,147,166,174,165,219
손괴,17세,범죄자 연령,명,39,75,99,125,85,109,205,185,144,185,206,235,229,218
손괴,18세,범죄자 연령,명,87,104,187,176,143,156,276,274,288,332,365,348,324,380
손괴,19세,범죄자 연령,명,108,155,234,,,,,,,,,,,
손괴,성인,범죄자 연령,명,20331,26333,31837,32196,26690,27359,29612,29257,29295,30903,34076,34086,34930,37580
손괴,19세,범죄자 연령,명,,,,247,253,250,281,347,388,404,477,472,441,466
손괴,20세,범죄자 연령,명,102,120,154,164,135,177,206,251,278,349,377,345,388,412
손괴,21세,범죄자 연령,명,120,148,199,206,141,177,238,318,352,324,339,447,404,442
손괴,22세,범죄자 연령,명,226,265,362,277,254,223,318,334,409,425,431,471,497,496
손괴,23세,범죄자 연령,명,332,414,445,408,328,303,353,362,377,490,561,555,546,553
손괴,24세,범죄자 연령,명,368,509,553,490,366,310,359,349,373,476,565,580,614,573
손괴,25세,범죄자 연령,명,379,552,667,543,427,342,413,365,381,430,486,631,567,584
손괴,26~30세,범죄자 연령,명,2037,2874,3579,3530,2842,2508,2668,2436,2277,2315,2469,2512,2599,2792
손괴,31~35세,범죄자 연령,명,2655,3374,3796,3614,2868,2930,3182,3216,3037,3014,3269,3105,2958,2876
손괴,36~40세,범죄자 연령,명,3594,4569,5304,5038,3937,3579,3592,3317,3129,3343,3612,3547,3685,3934
손괴,41~45세,범죄자 연령,명,,,,,,,,,4344,4182,4380,3998,3701,4001
손괴,46~50세,범죄자 연령,명,,,,,,,,,4438,4700,5120,4878,4962,5098
손괴,41~50세,범죄자 연령,명,7074,9105,11013,11153,9114,9187,9413,9179,,,,,,
손괴,51~55세,범죄자 연령,명,,,,,,,,,4172,4266,4657,4539,4659,4954
손괴,56~60세,범죄자 연령,명,,,,,,,,,2491,2968,3434,3648,3978,4475
손괴,51~60세,범죄자 연령,명,2461,3307,4276,4860,4503,5357,6223,6352,,,,,,
손괴,61~70세,범죄자 연령,명,800,893,1190,1289,1146,1496,1744,1743,1943,2189,2737,3078,3485,4053
손괴,71세이상,범죄자 연령,명,183,203,299,377,376,520,622,688,906,1028,1162,1280,1446,1871
손괴,미상,범죄자 연령,명,561,498,669,632,273,436,673,717,208,401,341,444,457,381
강력범죄(흉악),계,범죄자 연령,명,15408,14727,19848,22564,23332,26195,25485,28180,29861,31775,33529,36583,36641,37390
강력범죄(흉악),소년,범죄자 연령,명,1857,1928,3016,3182,3106,3289,2790,2521,3158,2713,3343,3463,3509,3665
강력범죄(흉악),14세미만,범죄자 연령,명,20,10,18,20,12,6,37,18,1,1,3,6,,
강력범죄(흉악),14세,범죄자 연령,명,204,267,329,366,248,141,297,294,412,3,430,382,473,487
강력범죄(흉악),15세,범죄자 연령,명,312,379,646,616,593,507,430,428,540,588,640,624,635,654
강력범죄(흉악),16세,범죄자 연령,명,424,402,690,830,768,867,621,511,657,661,785,797,704,733
강력범죄(흉악),17세,범죄자 연령,명,341,367,519,760,756,907,716,638,736,709,733,807,814,839
강력범죄(흉악),18세,범죄자 연령,명,328,299,479,590,729,861,689,632,812,751,752,847,883,952
강력범죄(흉악),19세,범죄자 연령,명,228,204,335,,,,,,,,,,,
